Timestamp,Count,Configuration Version,Status Version,Calibration Action,
1477676358861,21287,1,2,0
1477676358862,21286,1,2,0
1477676358863,21288,1,2,0
1477676358864,21286,1,2,0
1477676358865,21288,1,2,0
1477676358866,21286,1,2,0
1477676358867,21287,1,2,0
1477676358868,21286,1,2,0
1477676358869,21287,1,2,0
1477676358870,21288,1,2,0
1477676358871,21287,1,2,0
1477676358872,21287,1,2,0
1477676358873,21288,1,2,0
1477676358874,21288,1,2,0
1477676358875,21288,1,2,0
1477676358876,21289,1,2,0
1477676358877,21289,1,2,0
1477676358878,21290,1,2,0
1477676358879,21288,1,2,0
1477676358880,21288,1,2,0
1477676358881,21290,1,2,0
1477676358882,21288,1,2,0
1477676358883,21288,1,2,0
1477676358884,21289,1,2,0
1477676358885,21288,1,2,0
1477676358886,21289,1,2,0
1477676358887,21289,1,2,0
1477676358888,21288,1,2,0
1477676358889,21287,1,2,0
1477676358890,21287,1,2,0
1477676358891,21288,1,2,0
1477676358892,21287,1,2,0
1477676358893,21287,1,2,0
1477676358894,21288,1,2,0
1477676358895,21287,1,2,0
1477676358896,21289,1,2,0
1477676358897,21289,1,2,0
1477676358898,21288,1,2,0
1477676358899,21289,1,2,0
1477676358900,21285,1,2,0
1477676358901,21287,1,2,0
1477676358902,21286,1,2,0
1477676358903,21287,1,2,0
1477676358904,21286,1,2,0
1477676358905,21287,1,2,0
1477676358906,21286,1,2,0
1477676358907,21287,1,2,0
1477676358908,21285,1,2,0
1477676358909,21287,1,2,0
1477676358910,21295,1,2,0
1477676358911,21282,1,2,0
1477676358912,21284,1,2,0
1477676358913,21283,1,2,0
1477676358914,21282,1,2,0
1477676358915,21281,1,2,0
1477676358916,21283,1,2,0
1477676358917,21282,1,2,0
1477676358918,21283,1,2,0
1477676358919,21281,1,2,0
1477676358920,21282,1,2,0
1477676358921,21283,1,2,0
1477676358922,21282,1,2,0
1477676358923,21283,1,2,0
1477676358924,21283,1,2,0
1477676358925,21283,1,2,0
1477676358926,21284,1,2,0
1477676358927,21284,1,2,0
1477676358928,21283,1,2,0
1477676358929,21281,1,2,0
1477676358930,21284,1,2,0
1477676358931,21283,1,2,0
1477676358932,21282,1,2,0
1477676358933,21283,1,2,0
1477676358934,21280,1,2,0
1477676358935,21283,1,2,0
1477676358936,21283,1,2,0
1477676358937,21282,1,2,0
1477676358938,21282,1,2,0
1477676358939,21281,1,2,0
1477676358940,21282,1,2,0
1477676358941,21281,1,2,0
1477676358942,21282,1,2,0
1477676358943,21283,1,2,0
1477676358944,21282,1,2,0
1477676358945,21281,1,2,0
1477676358946,21281,1,2,0
1477676358947,21282,1,2,0
1477676358948,21282,1,2,0
1477676358949,21281,1,2,0
1477676358950,21283,1,2,0
1477676358951,21281,1,2,0
1477676358952,21281,1,2,0
1477676358953,21281,1,2,0
1477676358954,21281,1,2,0
1477676358955,21282,1,2,0
1477676358956,21280,1,2,0
1477676358957,21282,1,2,0
1477676358958,21280,1,2,0
1477676358959,21280,1,2,0
1477676358960,21280,1,2,0
1477676358961,21280,1,2,0
1477676358962,21280,1,2,0
1477676358963,21280,1,2,0
1477676358964,21281,1,2,0
1477676358965,21281,1,2,0
1477676358966,21280,1,2,0
1477676358967,21280,1,2,0
1477676358968,21279,1,2,0
1477676358969,21279,1,2,0
1477676358970,21280,1,2,0
1477676358971,21280,1,2,0
1477676358972,21280,1,2,0
1477676358973,21280,1,2,0
1477676358974,21281,1,2,0
1477676358975,21280,1,2,0
1477676358976,21280,1,2,0
1477676358977,21280,1,2,0
1477676358978,21281,1,2,0
1477676358979,21280,1,2,0
1477676358980,21279,1,2,0
1477676358981,21279,1,2,0
1477676358982,21281,1,2,0
1477676358983,21280,1,2,0
1477676358984,21281,1,2,0
1477676358985,21281,1,2,0
1477676358986,21279,1,2,0
1477676358987,21278,1,2,0
1477676358988,21278,1,2,0
1477676358989,21278,1,2,0
1477676358990,21278,1,2,0
1477676358991,21279,1,2,0
1477676358992,21279,1,2,0
1477676358993,21277,1,2,0
1477676358994,21277,1,2,0
1477676358995,21276,1,2,0
1477676358996,21277,1,2,0
1477676358997,21278,1,2,0
1477676358998,21277,1,2,0
1477676358999,21277,1,2,0
1477676359000,21278,1,2,0
1477676359001,21277,1,2,0
1477676359002,21276,1,2,0
1477676359003,21277,1,2,0
1477676359004,21277,1,2,0
1477676359005,21278,1,2,0
1477676359006,21276,1,2,0
1477676359007,21277,1,2,0
1477676359008,21278,1,2,0
1477676359009,21277,1,2,0
1477676359010,21278,1,2,0
1477676359011,21267,1,2,0
1477676359012,21265,1,2,0
1477676359013,21267,1,2,0
1477676359014,21267,1,2,0
1477676359015,21265,1,2,0
1477676359016,21266,1,2,0
1477676359017,21266,1,2,0
1477676359018,21264,1,2,0
1477676359019,21263,1,2,0
1477676359020,21265,1,2,0
1477676359021,21264,1,2,0
1477676359022,21263,1,2,0
1477676359023,21264,1,2,0
1477676359024,21263,1,2,0
1477676359025,21263,1,2,0
1477676359026,21263,1,2,0
1477676359027,21262,1,2,0
1477676359028,21262,1,2,0
1477676359029,21262,1,2,0
1477676359030,21263,1,2,0
1477676359031,21260,1,2,0
1477676359032,21261,1,2,0
